Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
376	109	109	109	92.0000	0.8697	0.8691
377	109	109	109	93.0000	0.8791	0.8785
378	109	109	109	92.0000	0.8697	0.8691
379	109	109	109	92.0000	0.8697	0.8691
380	109	109	109	93.0000	0.8791	0.8785
381	109	109	109	93.0000	0.8791	0.8785
382	109	109	109	92.0000	0.8697	0.8691
383	109	109	109	93.0000	0.8791	0.8785
384	109	109	109	92.0000	0.8697	0.8691
385	109	109	109	93.0000	0.8791	0.8785
386	109	109	109	93.0000	0.8791	0.8785
387	109	109	109	92.0000	0.8697	0.8691
388	109	109	109	93.0000	0.8791	0.8785
389	109	109	109	93.0000	0.8791	0.8785
390	109	109	109	93.0000	0.8791	0.8785
391	109	109	109	92.0000	0.8697	0.8691
392	109	109	109	93.0000	0.8791	0.8785
393	109	109	109	93.0000	0.8791	0.8785
394	109	109	109	93.0000	0.8791	0.8785
395	109	109	109	93.0000	0.8791	0.8785
396	109	109	109	93.0000	0.8791	0.8785
397	109	109	109	93.0000	0.8791	0.8785
398	109	109	109	92.0000	0.8697	0.8691
399	109	109	109	93.0000	0.8791	0.8785
400	109	109	109	93.0000	0.8791	0.8785
401	109	109	109	93.0000	0.8791	0.8785
402	109	109	109	92.0000	0.8697	0.8691
403	109	109	109	93.0000	0.8791	0.8785
404	109	109	109	93.0000	0.8791	0.8785
405	109	109	109	93.0000	0.8791	0.8785
406	109	109	109	92.0000	0.8697	0.8691
407	109	109	109	93.0000	0.8791	0.8785
408	109	109	109	93.0000	0.8791	0.8785
409	109	109	109	93.0000	0.8791	0.8785
410	109	109	109	93.0000	0.8791	0.8785
411	109	109	109	93.0000	0.8791	0.8785
412	109	109	109	93.0000	0.8791	0.8785
413	109	109	109	93.0000	0.8791	0.8785
414	109	109	109	93.0000	0.8791	0.8785
415	109	109	109	93.0000	0.8791	0.8785
416	109	109	109	93.0000	0.8791	0.8785
417	109	109	109	93.0000	0.8791	0.8785
418	109	109	109	93.0000	0.8791	0.8785
419	109	109	109	92.0000	0.8697	0.8691
420	109	109	109	93.0000	0.8791	0.8785
421	109	109	109	93.0000	0.8791	0.8785
422	109	109	109	92.0000	0.8697	0.8691
423	109	109	109	93.0000	0.8791	0.8785
424	109	109	109	93.0000	0.8791	0.8785
425	109	109	109	93.0000	0.8791	0.8785
426	109	109	109	93.0000	0.8791	0.8785
427	109	109	109	93.0000	0.8791	0.8785
428	109	109	109	93.0000	0.8791	0.8785
429	109	109	109	91.0000	0.8602	0.8596
430	109	109	109	92.0000	0.8697	0.8691
431	109	109	109	93.0000	0.8791	0.8785
432	109	109	109	93.0000	0.8791	0.8785
433	109	109	109	93.0000	0.8791	0.8785
434	109	109	109	93.0000	0.8791	0.8785
435	109	109	109	93.0000	0.8791	0.8785
436	109	109	109	92.0000	0.8697	0.8691
437	109	109	109	93.0000	0.8791	0.8785
438	109	109	109	92.0000	0.8697	0.8691
439	109	109	109	93.0000	0.8791	0.8785
440	109	109	109	93.0000	0.8791	0.8785
441	109	109	109	93.0000	0.8791	0.8785
442	109	109	109	93.0000	0.8791	0.8785
443	109	109	109	93.0000	0.8791	0.8785
444	109	109	109	92.0000	0.8697	0.8691
445	109	109	109	93.0000	0.8791	0.8785
446	109	109	109	92.0000	0.8697	0.8691
447	109	109	109	92.0000	0.8697	0.8691
448	109	109	109	93.0000	0.8791	0.8785
449	109	109	109	92.0000	0.8697	0.8691
450	109	109	109	93.0000	0.8791	0.8785
451	109	109	109	93.0000	0.8791	0.8785
452	109	109	109	93.0000	0.8791	0.8785
453	109	109	109	93.0000	0.8791	0.8785
454	109	109	109	93.0000	0.8791	0.8785
455	109	109	109	91.0000	0.8602	0.8596
456	109	109	109	91.0000	0.8602	0.8596
457	109	109	109	93.0000	0.8791	0.8785
458	109	109	109	93.0000	0.8791	0.8785
459	109	109	109	93.0000	0.8791	0.8785
460	109	109	109	93.0000	0.8791	0.8785
461	109	109	109	93.0000	0.8791	0.8785
462	109	109	109	93.0000	0.8791	0.8785
463	109	109	109	92.0000	0.8697	0.8691
464	109	109	109	93.0000	0.8791	0.8785
465	109	109	109	93.0000	0.8791	0.8785
466	109	109	109	93.0000	0.8791	0.8785
467	109	109	109	93.0000	0.8791	0.8785
468	109	109	109	93.0000	0.8791	0.8785
469	109	109	109	93.0000	0.8791	0.8785
470	109	109	109	93.0000	0.8791	0.8785
471	109	109	109	93.0000	0.8791	0.8785
472	109	109	109	93.0000	0.8791	0.8785
473	109	109	109	92.0000	0.8697	0.8691
474	109	109	109	93.0000	0.8791	0.8785
475	109	109	109	93.0000	0.8791	0.8785
476	109	109	109	93.0000	0.8791	0.8785
477	109	109	109	93.0000	0.8791	0.8785
478	109	109	109	92.0000	0.8697	0.8691
479	109	109	109	92.0000	0.8697	0.8691
480	109	109	109	92.0000	0.8697	0.8691
481	109	109	109	93.0000	0.8791	0.8785
482	109	109	109	93.0000	0.8791	0.8785
483	109	109	109	93.0000	0.8791	0.8785
484	109	109	109	93.0000	0.8791	0.8785
485	109	109	109	93.0000	0.8791	0.8785
486	109	109	109	93.0000	0.8791	0.8785
487	109	109	109	91.0000	0.8602	0.8596
488	109	109	109	93.0000	0.8791	0.8785
489	109	109	109	93.0000	0.8791	0.8785
490	109	109	109	93.0000	0.8791	0.8785
491	109	109	109	93.0000	0.8791	0.8785
492	109	109	109	93.0000	0.8791	0.8785
493	109	109	109	93.0000	0.8791	0.8785
494	109	109	109	93.0000	0.8791	0.8785
495	109	109	109	92.0000	0.8697	0.8691
496	109	109	109	92.0000	0.8697	0.8691
497	109	109	109	93.0000	0.8791	0.8785
498	109	109	109	93.0000	0.8791	0.8785
499	109	109	109	93.0000	0.8791	0.8785
500	109	109	109	93.0000	0.8791	0.8785
501	109	109	109	93.0000	0.8791	0.8785
502	109	109	109	93.0000	0.8791	0.8785
503	109	109	109	93.0000	0.8791	0.8785
504	109	109	109	93.0000	0.8791	0.8785
505	109	109	109	93.0000	0.8791	0.8785
506	109	109	109	93.0000	0.8791	0.8785
507	109	109	109	93.0000	0.8791	0.8785
508	109	109	109	93.0000	0.8791	0.8785
509	109	109	109	93.0000	0.8791	0.8785
510	109	109	109	93.0000	0.8791	0.8785
511	109	109	109	91.0000	0.8602	0.8596
512	109	109	109	92.0000	0.8697	0.8691
513	109	109	109	93.0000	0.8791	0.8785
514	109	109	109	93.0000	0.8791	0.8785
515	109	109	109	93.0000	0.8791	0.8785
516	109	109	109	92.0000	0.8697	0.8691
517	109	109	109	93.0000	0.8791	0.8785
518	109	109	109	93.0000	0.8791	0.8785
519	109	109	109	92.0000	0.8697	0.8691
520	109	109	109	93.0000	0.8791	0.8785
521	109	109	109	92.0000	0.8697	0.8691
522	109	109	109	93.0000	0.8791	0.8785
523	109	109	109	93.0000	0.8791	0.8785
524	109	109	109	92.0000	0.8697	0.8691
525	109	109	109	93.0000	0.8791	0.8785
526	109	109	109	93.0000	0.8791	0.8785
527	109	109	109	92.0000	0.8697	0.8691
528	109	109	109	93.0000	0.8791	0.8785
529	109	109	109	92.0000	0.8697	0.8691
530	109	109	109	93.0000	0.8791	0.8785
531	109	109	109	93.0000	0.8791	0.8785
532	109	109	109	93.0000	0.8791	0.8785
